disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8
Rotator Cuff Injury,clicking or popping in shoulder,shoulder pain worsening with arm raising,pain at night (lying on affected side),difficulty reaching behind back,weakness in shoulder,reduced range of motion,,
Bronchitis,cough with mucus,sore throat,low-grade fever,chills,shortness of breath,,,
Muscular Dystrophy (Duchenne),progressive muscle weakness (proximal first),waddling gait,respiratory failure (late),learning difficulties,frequent falls,cardiomyopathy,calf pseudohypertrophy,difficulty walking
Coronary Artery Disease,fatigue,sweating,chest pain (angina),nausea,dizziness,pain radiating to arm/jaw,palpitations,chest tightness
Addison's Disease,nausea,abdominal pain,weight loss,salt craving,,,,
Heat Stroke,nausea,loss of consciousness,rapid heartbeat,core body temperature >40°C,,,,
Pneumonia,chest pain on breathing,confusion in elderly,chills,sweating,shortness of breath,,,
Cystic Fibrosis,nasal polyps,frequent lung infections,poor growth,persistent cough with thick mucus,fatty stools,clubbing of fingers,breathlessness,digestive problems
Nephrotic Syndrome,severe oedema (swelling),reduced urine output,foamy urine (proteinuria),loss of appetite,,,,
Malignant Melanoma,multiple colours in mole,bleeding mole,itching mole,new pigmented skin lesion,asymmetric mole,diameter >6 mm,irregular border mole,
Cerebral Palsy,intellectual disability,spasticity (muscle stiffness),seizures,speech problems,weakness,fine motor difficulties,vision/hearing problems,
Athlete's Foot (Tinea Pedis),cracking and peeling skin,blisters on foot,itching and burning between toes,scaly rash between toes,,,,
Appendicitis,vomiting,pain starting around navel migrating to right lower abdomen,nausea,rebound tenderness at McBurney's point,constipation or diarrhoea,,,
Hyperlipidaemia,usually asymptomatic,chest pain if coronary artery disease develops,xanthomas (fatty deposits under skin),xanthelasmas (around eyes),corneal arcus,,,
Gonorrhoea,rectal pain,testicular pain (men),pelvic pain (women),sore throat (pharyngeal),,,,
COVID-19,sore throat,fever,headache,chest tightness,,,,
Haemorrhoids,leakage of faeces,discomfort sitting,swelling around anus,bright red blood during bowel movement,prolapse of haemorrhoid,pain and discomfort,,
Cholecystitis,right upper quadrant abdominal pain,fever,nausea,Murphy's sign positive,,,,
Parkinson's Disease,writing changes,postural instability,loss of automatic movements,speech changes,shuffling gait,sleep disturbances,muscle rigidity,bradykinesia (slow movement)
Pneumonia,bluish lips,chest pain on breathing,productive cough,sweating,fever,confusion in elderly,,
Breast Cancer,redness of breast skin,nipple inversion,nipple discharge,skin dimpling,swollen lymph nodes in armpit,,,
Huntington's Disease,sleep disturbances,psychiatric symptoms,depression,balance difficulty,,,,
Temporomandibular Joint Disorder,difficulty chewing,jaw clicking or popping,jaw pain,aching facial pain,headache,locking of jaw,neck and shoulder pain,
Cirrhosis,enlarged spleen,ascites,fatigue,jaundice,,,,
Down Syndrome,vision problems,short stature,thyroid dysfunction,characteristic facial features,low muscle tone (hypotonia),congenital heart defects,,
Autism Spectrum Disorder,sensory sensitivities,difficulty with change in routine,restricted interests,difficulty with social interaction,,,,
Thalassemia (Beta),growth retardation,bone deformities,pallor,severe anaemia,jaundice,dark urine,,
Leukemia (Acute Lymphoblastic),splenomegaly,pallor,night sweats,petechiae/bleeding gums,swollen lymph nodes,fatigue,,
Polycystic Ovary Syndrome,weight gain,ovarian cysts on ultrasound,irregular periods,thinning scalp hair,mood changes,excess body hair (hirsutism),difficulty getting pregnant,
Anaemia,chest pain,fatigue,brittle nails,cold hands and feet,pallor (pale skin),shortness of breath,irregular heartbeat,
Alcohol Use Disorder,strong craving for alcohol,blackouts,morning drinking,tolerance (needing more),"withdrawal symptoms (tremor, sweating)",,,
Sickle Cell Disease,stroke symptoms,acute chest syndrome,"painful crises (bones, chest, joints)",anaemia,swollen hands and feet (dactylitis),fatigue,delayed growth,
Polycystic Ovary Syndrome,weight gain,mood changes,darkened skin patches,excess body hair (hirsutism),thinning scalp hair,,,
Hypo-thyroidism,depression,constipation,cold intolerance,fatigue,hair thinning,slow heart rate,,
Sinusitis,post-nasal drip,facial pain or pressure,loss of smell,toothache,fatigue,fever,headache,
Breast Cancer,breast lump,thickening of breast tissue,nipple discharge,breast pain,change in breast shape,redness of breast skin,,
Malignant Melanoma,changing mole (ABCDE criteria),irregular border mole,multiple colours in mole,evolving mole,new pigmented skin lesion,diameter >6 mm,itching mole,asymmetric mole
Tuberculosis,chronic productive cough,fatigue,chest pain,night sweats,loss of appetite,weight loss,fever,
Polycystic Ovary Syndrome,thinning scalp hair,mood changes,ovarian cysts on ultrasound,acne,,,,
Nephrotic Syndrome,fatigue,severe oedema (swelling),low albumin,foamy urine (proteinuria),,,,
Varicose Veins,skin discolouration,muscle cramping in legs,itching around veins,visible twisted and bulging veins,aching or heavy legs,,,
Dengue Haemorrhagic Fever,bleeding gums,vomiting,plasma leakage (haemoconcentration),rapid fall in platelet count,,,,
Gout,tophi under skin (chronic),tenderness,redness of joint,swelling of affected joint,sudden severe joint pain (big toe),joint pain at night,warmth of joint,limited range of motion
Insomnia,anxiety about sleep,irritability,concentration difficulty,daytime fatigue,,,,
Alcohol Use Disorder,"withdrawal symptoms (tremor, sweating)",inability to limit drinking,morning drinking,strong craving for alcohol,,,,
Epilepsy,fear or anxiety aura,post-ictal confusion,deja vu sensation,automatic movements (lip smacking),,,,
Gout,warmth of joint,limited range of motion,redness of joint,tophi under skin (chronic),sudden severe joint pain (big toe),joint pain at night,tenderness,
Premenstrual Syndrome,depression,irritability,headache,sleep disturbances,fatigue,,,
Parkinson's Disease,shuffling gait,depression,sleep disturbances,muscle rigidity,speech changes,writing changes,bradykinesia (slow movement),
Gestational Diabetes,diagnosed via glucose tolerance test in pregnancy,increased thirst,blurred vision,frequent urination,,,,
Systemic Lupus Erythematosus,hair loss,mouth ulcers,photosensitivity,butterfly rash on face,,,,
Oral Candidiasis (Thrush),loss of taste,cotton-like sensation in mouth,white patches in mouth,redness at corners of mouth (angular cheilitis),difficulty swallowing,,,
Huntington's Disease,sleep disturbances,swallowing difficulty,psychiatric symptoms,depression,slurred speech,involuntary movements (chorea),cognitive decline,
Type 2 Diabetes,frequent infections,increased thirst,weight loss,darkened skin in armpits,,,,
Bulimia Nervosa,purging (self-induced vomiting),fasting after binges,teeth enamel erosion,use of laxatives or diuretics,electrolyte imbalances,,,
Psoriasis,nail pitting,red patches covered with scales,thick silvery scales on skin,burning sensation,shedding skin,,,
Anaphylaxis,itching,drop in blood pressure,difficulty breathing,sudden throat swelling,vomiting,,,
Lung Cancer,loss of appetite,persistent cough,recurrent pneumonia,shortness of breath,hoarseness,fatigue,coughing up blood,
Bronchitis,chills,cough with mucus,fatigue,sore throat,low-grade fever,mild fever,,
Asthma,cough at night,wheezing,exercise-induced breathlessness,mucus production,shortness of breath,,,
Huntington's Disease,psychiatric symptoms,balance difficulty,depression,irritability,personality changes,,,
Gastritis,vomiting,nausea,loss of appetite,burning sensation in stomach,bloating,dark stools,belching,
Polycystic Kidney Disease,abdominal fullness,kidney failure (late),headache,high blood pressure,kidney stones,back or flank pain,blood in urine (haematuria),
Ringworm (Tinea Corporis),expanding ring over time,patches on scalp (tinea capitis),ring-shaped scaly patches,hair loss in patches (scalp),itching,red borders of rash,,
Appendicitis,fever,pain starting around navel migrating to right lower abdomen,constipation or diarrhoea,rigidity of abdomen,nausea,loss of appetite,vomiting,rebound tenderness at McBurney's point
Systemic Lupus Erythematosus,butterfly rash on face,photosensitivity,joint pain and swelling,kidney problems (proteinuria),mouth ulcers,hair loss,,
Muscular Dystrophy (Duchenne),waddling gait,Gowers' sign,progressive muscle weakness (proximal first),respiratory failure (late),difficulty walking,,,
Cushing Syndrome,easy bruising,weakness,acne,high blood sugar,stretch marks (purple striae),,,
Diverticulitis,left lower abdominal pain,bloating,vomiting,tender left lower quadrant,fever,rectal bleeding (complicated),change in bowel habits,nausea
Raynaud's Disease,numbness and tingling in fingers,pain on rewarming,fingers or toes turning white then blue then red on cold exposure,cold fingers and toes,skin colour changes triggered by cold or stress,,,
Tetanus,rapid heartbeat,jaw stiffness (trismus/lockjaw),neck stiffness,spasms triggered by noise or touch,muscle stiffness,,,
Kawasaki Disease,peeling skin on fingers,red eyes (conjunctivitis),high fever lasting more than 5 days,red cracked lips,swollen hands and feet,,,
Pulmonary Fibrosis (Idiopathic),inspiratory crackles,dry cough,clubbing of fingers,progressive breathlessness,,,,
Peptic Ulcer,pain worsening after eating (gastric),weight loss,vomiting,pain relief after eating (duodenal),dark/tarry stools,belching,nausea,loss of appetite
Attention Deficit Hyperactivity Disorder,forgetful,disorganised,talking excessively,easily distracted,hyperactivity,impulsivity,,
Post-Traumatic Stress Disorder,irritability,emotional numbness,flashbacks,exaggerated startle response,sleep disturbances,nightmares,,
Cerebral Palsy,spasticity (muscle stiffness),speech problems,weakness,seizures,poor coordination,abnormal gait,,
Cerebral Palsy,speech problems,intellectual disability,poor coordination,weakness,fine motor difficulties,vision/hearing problems,,
Onychomycosis (Nail Fungus),distorted nail shape,white spots under nail,nails separating from nail bed,yellow-brown discolouration,foul odour,thickened nails,brittle or crumbly nails,
Hypo-thyroidism,memory impairment,cold intolerance,muscle weakness,fatigue,slow heart rate,weight gain,hair thinning,
Hyperlipidaemia,chest pain if coronary artery disease develops,abdominal pain (pancreatitis if very high triglycerides),corneal arcus,xanthomas (fatty deposits under skin),xanthelasmas (around eyes),usually asymptomatic,,
Tetanus,spasms triggered by noise or touch,rapid heartbeat,muscle stiffness,jaw stiffness (trismus/lockjaw),sweating,difficulty swallowing,,
Allergic Rhinitis,nasal congestion,post-nasal drip,itchy nose,headache,runny nose,fatigue,sneezing,watery eyes
Allergic Rhinitis,nasal congestion,fatigue,sneezing,itchy eyes,loss of smell,watery eyes,post-nasal drip,
Fibromyalgia,tender points,depression,widespread musculoskeletal pain,bowel problems,headache,,,
Anaphylaxis,rapid heartbeat,skin rash/hives,sudden throat swelling,itching,loss of consciousness,,,
Cushing Syndrome,stretch marks (purple striae),acne,easy bruising,weakness,thin skin,high blood sugar,buffalo hump,moon face
Colon Cancer,cramping,abdominal pain,change in bowel habits,iron deficiency anaemia,rectal bleeding,unexplained weight loss,weakness and fatigue,feeling that bowel doesn't empty completely
Bulimia Nervosa,calluses on knuckles,fasting after binges,purging (self-induced vomiting),use of laxatives or diuretics,teeth enamel erosion,episodes of binge eating,,
Gout,swelling of affected joint,tenderness,sudden severe joint pain (big toe),limited range of motion,,,,
Cystic Fibrosis,fatty stools,nasal polyps,poor growth,breathlessness,,,,
Endometriosis,bloating,pain during intercourse,heavy periods,fatigue,pain with bowel movements/urination,infertility,,
Fibromyalgia,anxiety,cognitive difficulties (fibro fog),widespread musculoskeletal pain,sleep disturbance,tender points,headache,,
Alcohol Use Disorder,strong craving for alcohol,"withdrawal symptoms (tremor, sweating)",inability to limit drinking,morning drinking,,,,
Fibromyalgia,fatigue,bowel problems,cognitive difficulties (fibro fog),anxiety,tender points,sleep disturbance,depression,
Appendicitis,rebound tenderness at McBurney's point,loss of appetite,nausea,constipation or diarrhoea,,,,
Anaemia,brittle nails,cold hands and feet,shortness of breath,dizziness,,,,
Obsessive-Compulsive Disorder,fear of contamination,hoarding,time-consuming rituals,distress when rituals interrupted,recurrent unwanted thoughts (obsessions),excessive checking,,
Scabies,crust formation (Norwegian scabies),burrow tracks in skin,sores from scratching,"rash on wrists, elbows, armpits, genitals",pimple-like rash,,,
Anorexia Nervosa,severely restricted food intake,distorted body image,dizziness,hair thinning,cold intolerance,,,
Generalized Anxiety Disorder,excessive worry,fatigue,irritability,sleep disturbance,,,,
Attention Deficit Hyperactivity Disorder,disorganised,difficulty following instructions,impulsivity,talking excessively,,,,
Acne Vulgaris,blackheads,cysts,scarring,oily skin,papules,,,
Muscular Dystrophy (Duchenne),respiratory failure (late),frequent falls,cardiomyopathy,progressive muscle weakness (proximal first),calf pseudohypertrophy,,,
Measles,high fever,fatigue,runny nose,Koplik's spots in mouth,widespread skin rash,sore throat,,
Polycystic Kidney Disease,kidney failure (late),kidney stones,back or flank pain,abdominal fullness,headache,blood in urine (haematuria),high blood pressure,urinary tract infections
Multiple Sclerosis,vision loss (optic neuritis),numbness or tingling,cognitive impairment,bladder dysfunction,double vision,balance problems,muscle weakness,spasticity
Anaphylaxis,itching,difficulty breathing,rapid heartbeat,wheezing,vomiting,skin rash/hives,loss of consciousness,
Hepatitis A,nausea,low-grade fever,pale stools,loss of appetite,vomiting,abdominal pain,itching,fatigue
Peptic Ulcer,belching,pain relief after eating (duodenal),pain worsening after eating (gastric),weight loss,burning stomach pain,loss of appetite,,
Cirrhosis,enlarged spleen,weakness,mental confusion (hepatic encephalopathy),jaundice,,,,
Kidney Stones,pain radiating to groin,burning urination,frequent urination,vomiting,,,,
Haemophilia A,internal bleeding,blood in urine,bruising easily,excessive bleeding from minor cuts,joint pain and swelling,spontaneous joint bleeds,,
Attention Deficit Hyperactivity Disorder,easily distracted,poor concentration,impulsivity,hyperactivity,inattention,forgetful,disorganised,
Oral Candidiasis (Thrush),cotton-like sensation in mouth,soreness inside mouth,redness at corners of mouth (angular cheilitis),white patches in mouth,,,,
Diverticulitis,nausea,left lower abdominal pain,change in bowel habits,tender left lower quadrant,rectal bleeding (complicated),fever,vomiting,
Scoliosis,one hip higher than other,uneven waist,rib prominence on one side,uneven shoulders,difficulty breathing (severe curves),back pain,abnormal curvature of spine sideways,
Pulmonary Embolism,dizziness,anxiety,fainting,cough with blood,sudden shortness of breath,low oxygen saturation,chest pain worsening with breathing,leg swelling (DVT source)
Hypo-thyroidism,slow heart rate,dry skin,weight gain,puffiness of face,memory impairment,constipation,depression,muscle weakness
Onychomycosis (Nail Fungus),white spots under nail,foul odour,nails separating from nail bed,brittle or crumbly nails,yellow-brown discolouration,distorted nail shape,thickened nails,
Varicose Veins,aching or heavy legs,visible twisted and bulging veins,skin discolouration,swelling of ankles,muscle cramping in legs,,,
Pancreatitis,jaundice (if bile duct affected),rapid heart rate,abdominal tenderness,vomiting,abdominal distension,nausea,severe upper abdominal pain radiating to back,
Glaucoma,halos around lights,eye pain,gradual peripheral vision loss,nausea,blurred vision,headache,,
Macular Degeneration (AMD),faded colours,visual distortion (straight lines appear wavy),difficulty reading,needing more light,dark or empty area in centre of vision,one eye affected initially,,
Heart Failure,rapid weight gain,orthopnoea (breathlessness lying flat),reduced exercise tolerance,shortness of breath,fatigue,persistent cough,swollen ankles and legs,paroxysmal nocturnal dyspnoea
Temporomandibular Joint Disorder,locking of jaw,jaw clicking or popping,difficulty chewing,neck and shoulder pain,pain in and around ear,headache,,
Endometriosis,pain with bowel movements/urination,pelvic pain,pain during intercourse,infertility,painful periods (dysmenorrhoea),fatigue,,
Psoriasis,itching,dry cracked skin,burning sensation,red patches covered with scales,nail pitting,swollen joints (psoriatic arthritis),,
Diverticulitis,fever,bloating,change in bowel habits,rectal bleeding (complicated),nausea,vomiting,left lower abdominal pain,
Hemochromatosis,impotence,joint pain,liver enlargement,fatigue,hypogonadism,bronze skin discolouration,abdominal pain,
Whooping Cough (Pertussis),runny nose,cyanosis during coughing fits,cough lasting >3 weeks,post-cough vomiting,paroxysmal cough with 'whooping' sound,apnoea in infants,,
Generalized Anxiety Disorder,concentration difficulty,fatigue,muscle tension,irritability,excessive worry,restlessness,sleep disturbance,difficulty controlling worry
Gout,warmth of joint,sudden severe joint pain (big toe),joint pain at night,redness of joint,swelling of affected joint,limited range of motion,,
Anaemia (Iron Deficiency),pica (craving non-food items),dizziness,fast heartbeat,fatigue and weakness,restless legs,,,
Gout,joint pain at night,tophi under skin (chronic),limited range of motion,swelling of affected joint,sudden severe joint pain (big toe),,,
Onychomycosis (Nail Fungus),brittle or crumbly nails,foul odour,yellow-brown discolouration,distorted nail shape,thickened nails,white spots under nail,,
Raynaud's Disease,fingers or toes turning white then blue then red on cold exposure,pain on rewarming,numbness and tingling in fingers,skin colour changes triggered by cold or stress,,,,
Fibromyalgia,widespread musculoskeletal pain,tender points,anxiety,cognitive difficulties (fibro fog),sleep disturbance,,,
Down Syndrome,increased risk of infections,low muscle tone (hypotonia),hearing loss,intellectual disability,vision problems,short stature,congenital heart defects,
Type 2 Diabetes,increased hunger,increased thirst,frequent urination,slow-healing wounds,,,,
Lung Cancer,chest pain,recurrent pneumonia,bone pain,fatigue,hoarseness,shortness of breath,weight loss,coughing up blood
Chickenpox,headache,fatigue,itchy blister rash,malaise,loss of appetite,fever,,
Food Poisoning,dehydration,headache,vomiting,fever,,,,
Psoriasis,dry cracked skin,itching,nail pitting,red patches covered with scales,shedding skin,burning sensation,,
Malaria,fatigue,anaemia,vomiting,sweating,jaundice,nausea,,
Epiglottitis,sitting forward with neck extended (tripod position),stridor,high fever,muffled voice ('hot potato' voice),rapidly worsening sore throat,difficulty swallowing,anxiety/agitation,
Common Cold,headache,sneezing,loss of smell,sore throat,malaise,nasal congestion,mild fever,watery eyes
Leukemia (Acute Lymphoblastic),fatigue,swollen lymph nodes,pallor,fever,frequent infections,,,
Onychomycosis (Nail Fungus),distorted nail shape,white spots under nail,brittle or crumbly nails,foul odour,yellow-brown discolouration,,,
Measles,sensitivity to light,widespread skin rash,sore throat,red eyes,,,,
Hypothermia,slow shallow breathing,drowsiness,loss of coordination,rigid muscles,,,,
Glaucoma,nausea,tunnel vision (late),often asymptomatic (open-angle),headache,blurred vision,halos around lights,,
Cerebral Palsy,poor coordination,abnormal gait,seizures,speech problems,,,,
Varicose Veins,muscle cramping in legs,skin discolouration,visible twisted and bulging veins,itching around veins,,,,
Psoriasis,thick silvery scales on skin,swollen joints (psoriatic arthritis),nail pitting,shedding skin,itching,dry cracked skin,red patches covered with scales,
Bulimia Nervosa,swollen cheeks,electrolyte imbalances,use of laxatives or diuretics,teeth enamel erosion,purging (self-induced vomiting),calluses on knuckles,,
Breast Cancer,breast lump,breast pain,swollen lymph nodes in armpit,skin dimpling,change in breast shape,,,
Plantar Fasciitis,tenderness at heel bone base,pain after prolonged standing,heel pain (especially first steps in morning),pain decreasing after walking but returning after rest,stiffness in foot,,,
Attention Deficit Hyperactivity Disorder,impulsivity,difficulty following instructions,poor concentration,easily distracted,forgetful,talking excessively,,
Panic Disorder,sudden intense fear,trembling,nausea,chest pain,racing heart,dizziness,numbness or tingling,
Chronic Kidney Disease,sleep problems,decreased urine output,confusion (late stage),itching,shortness of breath,muscle cramps,swollen ankles and feet,fatigue
Celiac Disease,anaemia,abdominal bloating,skin rash (dermatitis herpetiformis),weight loss,bone pain,diarrhoea,fatigue,mouth ulcers
Asthma,exercise-induced breathlessness,wheezing,chronic cough,mucus production,difficulty breathing,shortness of breath,chest tightness,cough at night
Athlete's Foot (Tinea Pedis),cracking and peeling skin,itching and burning between toes,scaly rash between toes,blisters on foot,,,,
Leukemia (Acute Lymphoblastic),swollen lymph nodes,petechiae/bleeding gums,fatigue,pallor,bone and joint pain,,,
Pulmonary Embolism,rapid heartbeat,low oxygen saturation,leg swelling (DVT source),anxiety,,,,
Attention Deficit Hyperactivity Disorder,impulsivity,easily distracted,talking excessively,poor concentration,disorganised,difficulty following instructions,fidgeting,inattention
Peripheral Artery Disease,coldness in lower leg/foot,shiny skin on leg,sores on toes/feet that won't heal,slow toenail growth,weak pulse in legs,,,
Plantar Fasciitis,pain decreasing after walking but returning after rest,stiffness in foot,pain after prolonged standing,tenderness at heel bone base,,,,
Haemorrhoids,bright red blood during bowel movement,discomfort sitting,swelling around anus,itching around anus,prolapse of haemorrhoid,,,
Coronary Artery Disease,chest pain (angina),pain radiating to arm/jaw,fatigue,chest tightness,nausea,shortness of breath on exertion,palpitations,sweating
Bulimia Nervosa,calluses on knuckles,fasting after binges,episodes of binge eating,teeth enamel erosion,use of laxatives or diuretics,electrolyte imbalances,swollen cheeks,
Narcolepsy,difficulty concentrating,excessive daytime sleepiness,disrupted night sleep,hypnagogic hallucinations,automatic behaviour,sudden muscle weakness (cataplexy),sleep paralysis,
Kidney Stones,cloudy urine,frequent urination,vomiting,burning urination,severe flank pain,nausea,chills,
Haemorrhoids,itching around anus,discomfort sitting,pain and discomfort,prolapse of haemorrhoid,,,,
Temporomandibular Joint Disorder,neck and shoulder pain,jaw pain,locking of jaw,pain in and around ear,jaw clicking or popping,difficulty chewing,headache,aching facial pain
Retinal Detachment,loss of central vision (macula detachment),sudden flashes of light,curtain shadow over vision,visual field loss,sudden blurred vision,floaters,,
Gingivitis,tender gums,receding gums,soft/puffy gums,bleeding gums on brushing,,,,
Retinal Detachment,loss of central vision (macula detachment),curtain shadow over vision,sudden blurred vision,floaters,visual field loss,sudden flashes of light,,
Deep Vein Thrombosis,pain or tenderness in leg,redness or discolouration,warm skin over affected area,visible surface veins,leg cramps,,,
Anaphylaxis,itching,nausea,rapid heartbeat,loss of consciousness,wheezing,drop in blood pressure,,
Pulmonary Embolism,anxiety,sudden shortness of breath,cough with blood,chest pain worsening with breathing,fainting,dizziness,,
Gonorrhoea,testicular pain (men),pelvic pain (women),rectal pain,pus-like urethral discharge,painful urination,often asymptomatic in women,sore throat (pharyngeal),vaginal discharge
Anaemia,brittle nails,dizziness,fatigue,headache,irregular heartbeat,pallor (pale skin),,
Temporomandibular Joint Disorder,headache,difficulty chewing,jaw clicking or popping,neck and shoulder pain,locking of jaw,aching facial pain,,
Macular Degeneration (AMD),one eye affected initially,blurred central vision,faded colours,needing more light,visual distortion (straight lines appear wavy),difficulty reading,dark or empty area in centre of vision,
Oral Candidiasis (Thrush),soreness inside mouth,redness at corners of mouth (angular cheilitis),difficulty swallowing,white patches in mouth,,,,
Bipolar Disorder,racing thoughts,psychosis (severe mania),grandiosity,reduced need for sleep (mania),low mood and hopelessness (depression),episodes of depression,impulsive behaviour,
Irritable Bowel Syndrome,incomplete emptying feeling,symptoms triggered by stress,bloating,diarrhoea,mucus in stool,,,
Osteoarthritis,fatigue,joint swelling,joint pain worsening with activity,tenderness on joint pressure,bony growths at joint,crackling or grating sound,reduced range of motion,joint stiffness (especially morning)
Post-Traumatic Stress Disorder,flashbacks,avoidance of trauma reminders,irritability,concentration difficulty,emotional numbness,exaggerated startle response,sleep disturbances,hypervigilance
Deep Vein Thrombosis,leg cramps,pain or tenderness in leg,pitting oedema,redness or discolouration,swelling of one leg,,,
Haemophilia A,bruising easily,internal bleeding,spontaneous joint bleeds,joint pain and swelling,,,,
Ringworm (Tinea Corporis),circular rash with clear centre,expanding ring over time,itching,ring-shaped scaly patches,red borders of rash,patches on scalp (tinea capitis),hair loss in patches (scalp),
Attention Deficit Hyperactivity Disorder,inattention,forgetful,hyperactivity,easily distracted,difficulty following instructions,talking excessively,poor concentration,fidgeting
Varicose Veins,itching around veins,burning or throbbing in legs,muscle cramping in legs,visible twisted and bulging veins,,,,
Sleep Apnea,difficulty concentrating,frequent night awakenings,morning headache,irritability,loud snoring,witnessed apnoea,excessive daytime sleepiness,
Chickenpox,spots that become blisters then crust,headache,rash starts on trunk spreads to face and limbs,fatigue,malaise,,,
Sinusitis,facial pain or pressure,fever,thick nasal discharge,headache,loss of smell,toothache,post-nasal drip,
Premenstrual Syndrome,headache,depression,sleep disturbances,anxiety,mood swings,concentration difficulty,breast tenderness,food cravings
Hepatitis C,muscle aches,fatigue,fever,joint pain,often asymptomatic initially,,,
Peptic Ulcer,vomiting,burning stomach pain,belching,pain relief after eating (duodenal),weight loss,,,
Hyperlipidaemia,corneal arcus,xanthelasmas (around eyes),usually asymptomatic,abdominal pain (pancreatitis if very high triglycerides),xanthomas (fatty deposits under skin),,,
Polycystic Ovary Syndrome,thinning scalp hair,weight gain,difficulty getting pregnant,mood changes,excess body hair (hirsutism),acne,,
Syphilis,swollen lymph nodes,rash on palms and soles,headache,sore throat,,,,
Preeclampsia,visual disturbances,upper right abdominal pain,decreased urine output,headache,hypertension in pregnancy (BP >140/90),oedema,,
Premenstrual Syndrome,mood swings,irritability,fatigue,breast tenderness,concentration difficulty,,,
Amyotrophic Lateral Sclerosis,muscle twitching,emotional lability,unintentional weight loss,muscle weakness starting in limbs or speech,slurred speech,muscle cramps,difficulty breathing,progressive paralysis
Kidney Stones,burning urination,chills,cloudy urine,blood in urine,severe flank pain,pain radiating to groin,fever (if infected),vomiting
HIV Infection,diarrhoea,night sweats,rash,opportunistic infections (advanced),flu-like illness (acute),sore throat,fever,
Appendicitis,rebound tenderness at McBurney's point,pain starting around navel migrating to right lower abdomen,rigidity of abdomen,fever,,,,
Carpal Tunnel Syndrome,weakness of grip,tingling and numbness in thumb and fingers,pain radiating up forearm,dropping objects,pain in wrist and hand,symptoms worse at night,symptoms relieved by shaking hand,
Systemic Lupus Erythematosus,chest pain (serositis),kidney problems (proteinuria),photosensitivity,joint pain and swelling,anaemia,hair loss,,
Generalized Anxiety Disorder,"physical symptoms (headache, GI complaints)",sleep disturbance,difficulty controlling worry,concentration difficulty,muscle tension,irritability,excessive worry,restlessness
Chronic Obstructive Pulmonary Disease,cyanosis (late),chest tightness,shortness of breath on exertion,fatigue,,,,
Osteoporosis,back pain from fractured vertebra,stooped posture,loss of height over time,often asymptomatic until fracture,bone pain,fractures with minor trauma,,
Chronic Fatigue Syndrome,orthostatic intolerance,pain,profound fatigue lasting >6 months,flu-like symptoms,post-exertional malaise,unrefreshing sleep,cognitive impairment,sensitivity to light and sound
Insomnia,non-restorative sleep,irritability,difficulty falling asleep,early morning awakening,difficulty staying asleep,,,
Autism Spectrum Disorder,difficulty with change in routine,delayed speech,sensory sensitivities,restricted interests,avoidance of eye contact,difficulty with social interaction,,
Acromegaly,headache,sleep apnoea,enlarged tongue,facial feature changes (enlarged jaw/brow),body odour,vision problems,joint pain,
Typhoid Fever,headache,weakness,abdominal pain,sustained fever,cough,rose spots on trunk,loss of appetite,
Hypothermia,slurred speech,drowsiness,loss of coordination,slow shallow breathing,weak pulse,confusion,shivering (mild),
Lung Cancer,coughing up blood,fatigue,chest pain,persistent cough,loss of appetite,,,
Ringworm (Tinea Corporis),patches on scalp (tinea capitis),red borders of rash,circular rash with clear centre,ring-shaped scaly patches,itching,hair loss in patches (scalp),,
Irritable Bowel Syndrome,constipation,urgency,bloating,excess gas,symptoms triggered by stress,alternating diarrhoea and constipation,abdominal cramping,
Chickenpox,loss of appetite,headache,fatigue,malaise,spots that become blisters then crust,,,
Cholera,dry mouth,reduced skin turgor,low blood pressure,rapid dehydration,sudden vomiting,,,
HIV Infection,diarrhoea,sore throat,flu-like illness (acute),night sweats,fatigue,fever,opportunistic infections (advanced),weight loss
HIV Infection,night sweats,fever,rash,diarrhoea,,,,
Haemorrhoids,itching around anus,pain and discomfort,prolapse of haemorrhoid,swelling around anus,discomfort sitting,,,
Premenstrual Syndrome,concentration difficulty,depression,food cravings,sleep disturbances,headache,breast tenderness,,
Pelvic Inflammatory Disease,pain during intercourse,pelvic or lower abdominal pain,cervical motion tenderness,vomiting,,,,
Heat Stroke,core body temperature >40°C,headache,loss of consciousness,rapid heartbeat,nausea,hot dry skin (no sweating),confusion or altered consciousness,
Rheumatoid Arthritis,fatigue,decreased joint function,symmetric joint swelling,morning stiffness >1 hour,joint warmth and redness,nodules under skin,weight loss,fever
Huntington's Disease,sleep disturbances,psychiatric symptoms,slurred speech,balance difficulty,swallowing difficulty,,,
Measles,red eyes,high fever,runny nose,fatigue,cough,widespread skin rash,,
Psoriasis,itching,burning sensation,red patches covered with scales,swollen joints (psoriatic arthritis),thick silvery scales on skin,nail pitting,shedding skin,
Migraine,sensitivity to light,blurred vision,neck pain,nausea,vomiting,throbbing headache (one side),,
Temporomandibular Joint Disorder,difficulty chewing,jaw pain,neck and shoulder pain,aching facial pain,pain in and around ear,locking of jaw,jaw clicking or popping,
Gingivitis,soft/puffy gums,bad breath,receding gums,red swollen gums,,,,
Hearing Loss,asking others to repeat,difficulty understanding speech,dizziness,trouble hearing high-pitched sounds,tinnitus,turning up TV volume,ringing in ears,muffled sounds
