disease,medicine,dosage,precautions,severity
Bulimia Nervosa,Fluoxetine,60 mg once daily (higher than depression dose),FDA-approved for bulimia; combine with CBT; avoid abrupt withdrawal; serotonin syndrome risk with triptans; monitor electrolytes,Moderate
Endometriosis,Norethisterone (Progestogen),5 mg three times daily (days 5–26 of cycle) continuously,"Suppresses endometrial growth; side effects include weight gain, mood changes; not for pregnancy; breakthrough bleeding possible",Moderate
Cervical Cancer,Bevacizumab,15 mg/kg IV every 3 weeks (metastatic disease),"Risk of GI perforation, fistula, thromboembolism; monitor BP; discontinue 4 weeks before surgery",Critical
Gestational Diabetes,Metformin,500 mg twice daily with meals; increase gradually to 2000 mg/day max,Safe in pregnancy; GI side effects; hold if fasting pre-delivery; dietary advice and glucose monitoring essential,Moderate
Type 2 Diabetes,Metformin,500 mg twice daily with meals; max 2000–2550 mg/day,Hold before contrast imaging; avoid in renal failure (eGFR <30); risk of lactic acidosis; monitor B12 levels,Moderate
Food Poisoning,Ciprofloxacin,500 mg twice daily for 3–5 days (bacterial cause confirmed),Not for viral causes; avoid in pregnancy; risk of tendinopathy; monitor renal function,Moderate
COVID-19,Nirmatrelvir/Ritonavir (Paxlovid),300 mg/100 mg twice daily for 5 days; start within 5 days of symptoms,Many drug interactions (ritonavir); not for severe renal impairment; monitor for rebound symptoms,Moderate
Irritable Bowel Syndrome,Loperamide,2–4 mg after each loose stool; max 16 mg/day (IBS-D),For diarrhoea-predominant IBS; do not use in bloody diarrhoea; short courses; can cause constipation if overused,Mild
Glaucoma,Timolol Eye Drops 0.5%,1 drop twice daily in affected eye(s),"Beta-blocker — contraindicated in asthma, heart block; systemic absorption can occur; avoid in heart failure",Moderate
Migraine,Sumatriptan,50–100 mg orally at onset; may repeat after 2 h; max 200 mg/day,Not for use with MAOIs; avoid in cardiovascular disease; do not use more than 10 days/month,Moderate
Huntington's Disease,Quetiapine (Psychiatric Symptoms),"25–600 mg/day (for psychosis, agitation)",Metabolic monitoring; sedation; useful for psychiatric manifestations and sleep disturbance; multidisciplinary palliative approach,Moderate
Atrial Fibrillation,Amiodarone (Rhythm Control),"200 mg three times daily for 1 week, then 200 mg twice daily for 1 week, then 200 mg once daily","Monitor TFTs, LFTs, chest X-ray annually; pulmonary toxicity; photosensitivity; long half-life; multiple interactions",Severe
Haemorrhoids,Hydrocortisone Rectal Cream/Suppositories,1 application twice daily after bowel movement and at bedtime; max 7 days,Short-term use only; avoid prolonged use; maintain high-fibre diet; adequate hydration; sitz baths; referral if rectal bleeding persistent,Mild
Macular Degeneration (AMD),Ranibizumab (Lucentis) Intravitreal Injection,0.5 mg intravitreal injection monthly for 3 months then as required (wet AMD),Specialist ophthalmology; risk of endophthalmitis; eye pressure monitoring post-injection; serious haemorrhage rare; laser photocoagulation for some patterns,Severe
Chronic Kidney Disease,Ramipril (ACE Inhibitor),2.5–10 mg once daily,Renoprotective in diabetic nephropathy; monitor creatinine and potassium; avoid in bilateral renal artery stenosis; stop before contrast,Moderate
Gingivitis,Chlorhexidine Mouthwash 0.2%,10 mL twice daily for 60 seconds; do not swallow,Causes tooth staining with prolonged use; use only short-term; do not use immediately after toothpaste; professional dental cleaning essential,Mild
Post-Traumatic Stress Disorder,Sertraline,25–200 mg once daily,First-line SSRI for PTSD; combine with trauma-focused psychotherapy; allow 6–8 weeks for response; do not stop abruptly,Moderate
Major Depressive Disorder,Escitalopram,10–20 mg once daily in the morning,Well-tolerated SSRI; risk of QT prolongation at higher doses; sexual dysfunction common; slow taper on discontinuation,Moderate
Multiple Sclerosis,Natalizumab (Tysabri),300 mg IV every 4 weeks,Risk of PML (JC virus); JC antibody monitoring every 6 months; specialist neurology centre; do not use with immunosuppressants,Severe
Autism Spectrum Disorder,Risperidone,0.25–3 mg/day (children <20 kg: 0.25 mg/day; >20 kg: 0.5 mg/day); titrate,"For irritability, agitation, self-injury in ASD; extrapyramidal effects; weight gain; metabolic monitoring; not curative — behavioural therapy primary",Moderate
Carpal Tunnel Syndrome,Wrist Splint (Neutral Position),Wear wrist splint in neutral position during sleep and activities as tolerated,First-line conservative; reduces nocturnal symptoms; most effective early; combine with activity modification; no pharmacological side effects,Mild
Narcolepsy,Sodium Oxybate (GHB),4.5–9 g/night in 2 divided doses (first dose at bedtime; second 2.5–4 h later),Highly controlled drug; abuse potential; CNS depression; dilute in water; avoid alcohol and other CNS depressants; specialist-only,Severe
Polycystic Ovary Syndrome,Clomiphene Citrate,50–150 mg once daily on days 2–6 of menstrual cycle (for ovulation induction),Risk of multiple pregnancy and OHSS; limited to 6 cycles; ultrasound monitoring of follicles; specialist supervision,Moderate
Panic Disorder,Alprazolam (Short-term adjunct),0.25–0.5 mg three times daily as needed,Short-term only (max 4 weeks); dependence risk; impairs driving; taper slowly; avoid alcohol,Mild
Irritable Bowel Syndrome,Linaclotide,290 mcg once daily 30 min before first meal (IBS-C),Not for children under 18; diarrhoea is common side effect; discontinue if severe diarrhoea occurs,Mild
Attention Deficit Hyperactivity Disorder,Methylphenidate (Ritalin),5 mg twice daily (morning and noon); titrate to 20–60 mg/day in divided doses,Controlled stimulant; monitor height/weight in children; appetite suppression; cardiovascular monitoring; abuse potential; medication holidays may be considered,Moderate
Psoriasis,Methotrexate (Systemic),7.5–25 mg once weekly orally,Folic acid 5 mg once weekly (not on same day); avoid in liver disease and pregnancy; monitor LFTs and CBC monthly,Moderate
Cholera,Oral Rehydration Salts (ORS),Aggressive rehydration: 100 mL/kg in first 4 hours (moderate dehydration),Mainstay of treatment; prevent dehydration-related death; IV fluids for severe cases; early resumption of feeding,Severe
Irritable Bowel Syndrome,Mebeverine,135 mg three times daily 20 minutes before meals,Antispasmodic; take before meals; not for constipation-predominant IBS; safe in long term,Mild
Conjunctivitis,Chloramphenicol Eye Drops 0.5%,1–2 drops every 2 hours for first 48 hours then 4 times daily for 5 days (bacterial),Wash hands before and after application; complete full course; do not share drops; avoid contact lenses,Mild
Acne Vulgaris,Benzoyl Peroxide 5% Gel,Apply to affected area once daily (start) then twice daily,Bleaches fabrics; start with lower concentration; can cause dryness and irritation; use SPF daily,Mild
Acne Vulgaris,Doxycycline,100 mg once daily for 3–6 months (moderate-severe acne),Take with water upright; photosensitivity — use SPF; avoid in pregnancy and children under 8; not solo therapy — combine with topical,Mild
Carpal Tunnel Syndrome,Corticosteroid Injection (Carpal Tunnel),Methylprednisolone 40 mg or dexamethasone 1–4 mg into carpal tunnel once; may repeat once after 6 weeks,Temporary relief; risk of tendon injury if injected directly into tendon; surgery for persistent/severe cases; physiotherapy and wrist splint alongside,Mild
Varicose Veins,Compression Stockings (Class II),Wear daily; graduated compression 23–32 mmHg; put on before getting out of bed,Contraindicated in severe peripheral artery disease; measure and fit correctly; wash carefully; main conservative treatment; not curative,Mild
Food Poisoning,Oral Rehydration Salts (ORS),200–400 mL after each loose stool; aim for 1–2 L/day,First-line therapy; avoid anti-diarrhoeal drugs in bloody diarrhoea; see doctor if no improvement in 48 h,Mild
Kidney Stones,Morphine Sulfate,2–5 mg IV every 4 hours (severe pain),Hospitalisation required; monitor respiratory rate; risk of dependence; titrate carefully,Severe
Onychomycosis (Nail Fungus),Amorolfine Nail Lacquer 5%,Apply to affected nails once or twice weekly for 6 months (fingers) or 12 months (toes),File nail before application; remove old lacquer before reapplying; avoid contact with eyes/skin; lacquer is flammable,Mild
Pelvic Inflammatory Disease,Ceftriaxone + Doxycycline + Metronidazole,Ceftriaxone 500 mg IM single dose + Doxycycline 100 mg BD + Metronidazole 400 mg BD for 14 days,Complete full course; avoid intercourse until both partners treated; test and treat for STIs; can cause tubal damage and infertility if untreated,Moderate
Hyperthyroidism,Carbimazole,15–40 mg once daily (initial); reduce to 5–15 mg maintenance,Monitor for agranulocytosis (sore throat — stop drug and get urgent CBC); monitor TFTs every 4–6 weeks; dose reduce in pregnancy,Moderate
Premenstrual Syndrome,Sertraline (SSRI),50–150 mg daily (continuously or luteal phase only — 14 days before period),First-line for mood symptoms; intermittent dosing effective for PMS; monitor for mood changes; do not stop abruptly,Mild
Influenza,Paracetamol,500–1000 mg every 4–6 hours as needed; max 4 g/day,Avoid alcohol; do not exceed recommended dose; monitor liver function in hepatic disease,Mild
Lung Cancer,Carboplatin + Paclitaxel,Carboplatin AUC5 + Paclitaxel 175 mg/m² IV every 3 weeks,"Specialist oncology centre required; monitor blood counts, renal function; hypersensitivity prophylaxis for paclitaxel; peripheral neuropathy risk",Critical
Temporomandibular Joint Disorder,Ibuprofen,400 mg three times daily with food for 1–2 weeks,First-line for pain and inflammation; take with food; short-term; combine with jaw exercises and stress management,Mild
Nephrotic Syndrome,Furosemide (For Oedema),0.5–2 mg/kg once or twice daily,Monitor electrolytes carefully; daily weight monitoring; not to be used aggressively (risk of hypovolaemia); spironolactone combination to spare potassium,Moderate
Plantar Fasciitis,Ibuprofen,400–600 mg three times daily with food for 2 weeks,Short-term pain relief; add PPI in at-risk patients; combine with stretching exercises and supportive footwear; weight management,Mild
Pneumonia,Levofloxacin,750 mg once daily for 5 days,Risk of tendinopathy; avoid in epilepsy; not for children under 18; monitor QT interval,Severe
Measles,Amoxicillin,40–45 mg/kg/day in 3 divided doses (for secondary bacterial infections),Only for bacterial complications such as otitis media or pneumonia; complete full course; monitor for allergy,Moderate
Asthma,Budesonide Inhaler (ICS),200–400 mcg twice daily (maintenance),Rinse mouth to prevent oral candidiasis; do not stop suddenly; monitor growth in children,Moderate
COVID-19,Remdesivir,200 mg IV loading dose then 100 mg IV daily for 5 days,Hospitalised patients; monitor liver enzymes; risk of bradycardia,Severe
Tuberculosis,Rifampicin,10 mg/kg (max 600 mg) once daily on empty stomach,Turns urine/tears orange; multiple drug interactions; hepatotoxic — monitor LFTs,Severe
Bipolar Disorder,Sodium Valproate,750–2000 mg/day in divided doses,Monitor LFTs and platelets; teratogenic — mandatory contraception in women; not first-line in females of childbearing age; weight gain,Severe
Chronic Kidney Disease,Sodium Bicarbonate,500–1000 mg two to three times daily (for metabolic acidosis),Titrate to serum bicarbonate 22–26 mEq/L; monitor electrolytes; can worsen fluid retention,Moderate
Vertigo (Benign Paroxysmal Positional),Prochlorperazine,5–10 mg three times daily (for nausea/acute vertigo),Antiemetic/vestibular suppressant; avoid long-term use; extrapyramidal side effects possible; drowsiness — avoid driving,Mild
Anaemia (Iron Deficiency),Ferrous Sulfate,200 mg (65 mg elemental iron) twice or three times daily,Take on empty stomach with orange juice; dark stools expected; constipation — consider stool softener; avoid antacids and tea within 2 hours,Mild
Atrial Fibrillation,Bisoprolol (Rate Control),2.5–10 mg once daily; target resting HR <110 bpm,"Do not stop abruptly; contraindicated in decompensated HF, severe asthma; monitor HR and BP",Moderate
Rheumatoid Arthritis,Hydroxychloroquine,200–400 mg daily (max 5 mg/kg/day),Annual ophthalmology check (retinal toxicity); full effect after 3–6 months; avoid in G6PD deficiency,Moderate
Typhoid Fever,Ceftriaxone IV,2 g IV once daily for 7–14 days (severe/complicated),Hospitalisation required; monitor renal function; blood culture guidance; continue until afebrile for 5 days,Severe
HIV Infection,Cotrimoxazole Prophylaxis,960 mg once daily (when CD4 < 200 cells/mm³),Prophylaxis against PCP and toxoplasma; monitor renal function and blood counts; can be stopped when CD4 > 200 for 3 months,Moderate
Breast Cancer,Trastuzumab (Herceptin),8 mg/kg IV loading then 6 mg/kg every 3 weeks (HER2-positive),Monitor cardiac function (ECHO/MUGA every 3 months); not with anthracyclines concurrently; specialist team only,Critical
Ulcerative Colitis,Vedolizumab (Biologic),"300 mg IV at weeks 0, 2, 6 then every 8 weeks",Gut-selective; lower infection risk than anti-TNF; may cause elevated liver enzymes; specialist centre required,Severe
Hypertension,Enalapril (ACE Inhibitor),5–40 mg once or twice daily,Monitor potassium and renal function; contraindicated in pregnancy; watch for dry cough,Moderate
Chronic Obstructive Pulmonary Disease,Tiotropium (LAMA Inhaler),18 mcg (1 capsule) inhaled once daily via HandiHaler,Bronchodilator — not for acute attacks; rinse mouth; avoid in closed-angle glaucoma; may cause urinary retention,Moderate
Pancreatitis,Morphine Sulfate,2–4 mg IV every 4 hours (pain control),Titrate for pain relief; monitor respiration; constipation common; avoid in haemodynamic instability,Severe
Anaemia (Iron Deficiency),IV Iron Sucrose,200 mg IV in 100 mL saline over 30 min; repeat to calculated total deficit,For intolerance to oral iron or severe deficiency; risk of anaphylaxis (test dose recommended); specialist supervision,Moderate
Fibromyalgia,Pregabalin,75–300 mg twice daily (titrate slowly),Dizziness and sedation common; dependence risk; taper on discontinuation; dose reduce in renal failure; avoid driving initially,Moderate
Dengue Haemorrhagic Fever,IV Crystalloid Fluid (Normal Saline / Ringer's Lactate),5–10 mL/kg/hour; adjust to clinical response and haematocrit,"Hospital admission essential; strict fluid balance; no aspirin or NSAIDs; platelet transfusion if <20,000 or active bleeding; monitor haematocrit every 4–6 hours",Severe
Food Poisoning,Ondansetron,4–8 mg every 8 hours as needed for nausea/vomiting,Risk of QT prolongation; avoid with other serotonin drugs; monitor electrolytes,Mild
Muscular Dystrophy (Duchenne),Eteplirsen (Exondys 51 — Exon Skipping),30 mg/kg IV once weekly,For exon 51 skippable mutations (13% patients); specialist genetic and neuromuscular centre; infusion reactions; modest but consistent benefit,Severe
Anaphylaxis,Chlorphenamine IV,10 mg IV slowly (after adrenaline),Adjunctive therapy only; does not replace adrenaline; given after initial stabilisation; monitor for drowsiness,Critical
Psoriasis,Adalimumab (Anti-TNF Biologic),80 mg subcutaneously as loading dose then 40 mg every 2 weeks,Screen for TB and hepatitis B before starting; risk of serious infections; live vaccines contraindicated; specialist-initiated,Severe
Acne Vulgaris,Isotretinoin (Roaccutane),0.5–1 mg/kg/day in 2 divided doses for 4–6 months,"Severely teratogenic — mandatory pregnancy prevention programme; monthly liver function, cholesterol, blood count; avoid vitamin A supplements; psychiatric monitoring",Moderate
Epilepsy,Sodium Valproate,400–2000 mg/day in 2–3 divided doses,Teratogenic — avoid in women of childbearing age if possible; monitor LFTs and platelets; causes weight gain,Moderate
Prostate Cancer,Enzalutamide (Antiandrogen),160 mg (4 × 40 mg capsules) once daily,Risk of seizures; fatigue and falls in elderly; QT prolongation; many CYP450 interactions; monitoring PSA quarterly,Severe
Cataract,Prednisolone Acetate 1% Eye Drops (Post-operative),1 drop 4 times daily tapering over 4 weeks post-surgery,Anti-inflammatory post-operative care; prolonged use raises IOP; monitor for secondary infection,Mild
Generalized Anxiety Disorder,Diazepam (Short-term only),2–5 mg two to three times daily; max 4 weeks,Short-term use only (dependence risk); avoid in elderly; impairs driving; avoid with alcohol; taper on discontinuation,Mild
Chickenpox,Antihistamine (Chlorpheniramine),4 mg every 4–6 hours for itching (adults),May cause drowsiness; avoid alcohol; helpful for nighttime itching,Mild
Preeclampsia,Magnesium Sulfate (Seizure Prophylaxis),4 g IV loading over 15–20 min then 1 g/hr maintenance,"Monitor reflexes, urine output, respiratory rate; antidote: calcium gluconate 1 g IV; do not use in myasthenia gravis; ICU/HDU monitoring",Severe
Pulmonary Fibrosis (Idiopathic),Nintedanib,150 mg orally twice daily with food (12 hours apart),Antifibrotic — slows progression; GI side effects (diarrhoea — manage with loperamide); liver function monitoring; teratogenic — contraception required,Severe
Urinary Tract Infection,Ciprofloxacin,500 mg twice daily for 3–7 days,Reserve for complicated UTI; risk of tendinopathy; not first-line in uncomplicated UTI,Moderate
Tuberculosis,Isoniazid + Rifampicin + Pyrazinamide + Ethambutol (HRZE),"HRZE daily for 2 months (intensive phase), then HR daily for 4 months",Monitor liver function; take on empty stomach (rifampicin); add pyridoxine to prevent neuropathy; complete full 6-month course,Severe
Haemorrhoids,Senna (Stool Softener/Laxative),7.5–15 mg at bedtime,Prevents constipation and straining; high-fibre diet alongside; short-term use for constipation; not for colitis or intestinal obstruction,Mild
Leukemia (Acute Lymphoblastic),Vincristine + Dexamethasone + Asparaginase (Induction),Vincristine 1.5 mg/m² weekly + Dexamethasone 6 mg/m²/day + PEG-Asparaginase 1000 IU/m² (specialist protocol),Specialist haematology/oncology centre essential; peripheral neuropathy (vincristine); hyperglycaemia (dexamethasone); anaphylaxis risk (asparaginase); infection prophylaxis required,Critical
Breast Cancer,Letrozole (Aromatase Inhibitor),2.5 mg once daily (post-menopausal HR-positive),Bone density monitoring; supplement calcium and vitamin D; joint pain common; avoid in pre-menopausal women without ovarian suppression,Severe
Tetanus,Metronidazole IV,500 mg IV every 6 hours for 7–10 days (kills Clostridium tetani),Kills bacteria but does not neutralise toxin; alongside TIG; sedation and muscle relaxants for spasm control; hospitalisation mandatory,Critical
Syphilis,Benzathine Penicillin G,2.4 million units IM as single dose (primary/secondary/early latent),"Check penicillin allergy; use doxycycline 100 mg BD for 14 days if allergic; notify partners; retest at 3, 6, 12 months",Moderate
Major Depressive Disorder,Sertraline (SSRI),50 mg once daily; may increase to 200 mg/day after 4 weeks,Allow 4–6 weeks for full effect; do not stop abruptly; serotonin syndrome risk with MAOIs; increased suicidal ideation in young adults initially,Moderate
Thalassemia (Beta),Regular Blood Transfusion,Packed RBCs 10–15 mL/kg every 3–4 weeks (maintain Hb >9 g/dL pre-transfusion),Iron overload with repeated transfusions; transfusion reactions; hepatitis B vaccination; phenotypic matching of blood; specialist haematology,Severe
Ulcerative Colitis,Mesalazine (5-ASA),2.4–4.8 g/day (acute); 1.6–2.4 g/day (maintenance),First-line for mild-moderate; can combine oral and rectal for left-sided disease; monitor renal function annually,Moderate
Fibromyalgia,Amitriptyline (Low Dose),10–75 mg at night for sleep and pain,"At low doses well tolerated; anticholinergic effects (dry mouth, constipation); avoid in cardiac arrhythmia; take 12 h before waking",Mild
Allergic Rhinitis,Fluticasone Nasal Spray,2 sprays per nostril once daily; may reduce to 1 spray when controlled,Regular daily use required; tilt head forward; most effective nasal steroid; monitor growth in children,Mild
Anaemia,Cyanocobalamin (Vitamin B12),"1000 mcg IM daily for 1 week, then weekly for 1 month, then monthly",IM route for pernicious anaemia (poor absorption); lifelong treatment usually needed; monitor blood counts,Moderate
Celiac Disease,Ferrous Sulfate,200 mg (65 mg elemental iron) two to three times daily,For iron deficiency anaemia secondary to malabsorption; take with vitamin C; dark stools are expected,Mild
Hypertension,Amlodipine,5–10 mg once daily,Monitor blood pressure; may cause ankle swelling; avoid sudden withdrawal,Moderate
Gout,Indomethacin,50 mg three times daily for 5–7 days (acute attack),"Take with food; avoid in peptic ulcer, renal failure; add PPI; most effective NSAID for gout but high GI risk",Moderate
Stroke,Aspirin,300 mg orally as single dose (ischaemic stroke); then 75–100 mg once daily long term,Do not give if haemorrhagic stroke; give after CT confirms ischaemic; start after 24 h if thrombolysis given,Severe
Hearing Loss,Prednisolone (Sudden SNHL),1 mg/kg/day (max 60 mg) for 10–14 days (sudden sensorineural hearing loss),Start within 48–72 h of onset for best results; audiologist review urgent; monitor glucose and BP; taper on discontinuation,Severe
Premenstrual Syndrome,Mefenamic Acid,500 mg three times daily during symptomatic days,NSAID for physical symptoms; take with food; avoid in renal impairment; short-term use,Mild
Eczema (Atopic Dermatitis),Dupilumab (Dupixent),"600 mg subcutaneously (2 × 300 mg) loading, then 300 mg every 2 weeks",Specialist-initiated; conjunctivitis common; injection site reactions; no live vaccines during treatment,Severe
Malaria,Chloroquine Phosphate,"600 mg base initially, then 300 mg at 6 h, 24 h, 48 h",Monitor for retinal toxicity with long use; avoid in G6PD deficiency for some regimens,Moderate
Parkinson's Disease,Pramipexole (Dopamine Agonist),0.375–4.5 mg/day in 3 divided doses,"Risk of impulse control disorders (gambling, hypersexuality); orthostatic hypotension; start low titrate slowly",Moderate
Prostate Cancer,Leuprolide (Lupron — LHRH Agonist),7.5 mg IM monthly or 22.5 mg every 3 months,Androgen deprivation therapy; initial testosterone flare (add antiandrogen for first 4 weeks); osteoporosis risk; hot flushes; metabolic effects,Severe
Addison's Disease,Hydrocortisone (Glucocorticoid),15–25 mg/day in 2–3 divided doses (morning-weighted),Lifelong replacement; sick day rules (double dose during illness/fever); medical alert bracelet; educate on adrenal crisis emergency injection,Severe
Colon Cancer,FOLFOX Regimen (Oxaliplatin + Leucovorin + Fluorouracil),Oxaliplatin 85 mg/m² + Leucovorin 400 mg/m² + 5-FU 400 mg/m² IV bolus then 2400 mg/m² over 46 h; every 2 weeks,Specialist oncology centre; peripheral neuropathy (oxaliplatin — cold sensitivity); mucositis (5-FU); myelosuppression; neutropenic fever protocol,Critical
Epiglottitis,Ceftriaxone IV,2 g IV once daily for 7–10 days,AIRWAY EMERGENCY — do not examine throat or cause distress; immediate anaesthesia/ENT consultation for airway management; ICU care; do not do throat exam,Critical
Generalized Anxiety Disorder,Escitalopram,10–20 mg once daily,First-line SSRI; allow 4–6 weeks for effect; do not stop abruptly; may initially worsen anxiety (start low); combine with CBT,Mild
Hypertension,Losartan (ARB),50–100 mg once daily,Avoid in pregnancy; monitor potassium and creatinine; avoid with ACE inhibitors,Moderate
Neonatal Jaundice,Phototherapy (Blue Light),Continuous phototherapy (bili-blanket or overhead unit) as per nomogram thresholds,Monitor temperature (risk of hyperthermia); eye protection essential; adequate feeding/hydration; check bilirubin every 4–6 hours; exchange transfusion for severe cases,Moderate
Conjunctivitis,Acyclovir Eye Ointment 3%,Apply 1 cm ribbon of ointment 5 times daily for 7–10 days (viral/herpetic),For herpetic conjunctivitis only; ophthalmology referral essential; do not use with contact lenses,Moderate
Plantar Fasciitis,Corticosteroid Injection (Plantar Fascia),Triamcinolone 10–40 mg injected at tender point of plantar fascia; up to 3 per year,Risk of plantar fascia rupture; heel pad atrophy; temporary relief; physiotherapy and orthotics primary management,Mild
Down Syndrome,Levothyroxine,As per age-adjusted dosing for hypothyroidism; annual TSH monitoring,High prevalence of hypothyroidism in DS; annual thyroid screening; dose titrated to TSH levels; growth monitoring,Mild
Malignant Melanoma,Vemurafenib (BRAF Inhibitor),960 mg orally twice daily (BRAF V600E mutation),Require BRAF mutation testing; cutaneous squamous cell carcinoma risk; photosensitivity; QT prolongation; regular skin checks,Critical
Autism Spectrum Disorder,Melatonin,0.5–10 mg at bedtime (sleep disturbance),Widely used for sleep in ASD; short-term safety established; discuss with paediatrician; optimise sleep hygiene alongside,Mild
Asthma,Montelukast,10 mg once daily at bedtime (adults),May cause mood changes/suicidal ideation; not for acute attacks; take regularly,Moderate
Retinal Detachment,Vitreoretinal Surgery (Scleral Buckle/Vitrectomy),Surgical reattachment; timing within 24 h if macula threatened,Ophthalmologic emergency; avoid strenuous activity post-op; gas bubble may be used — no air travel for 6–8 weeks; face-down positioning may be required,Critical
Osteoarthritis,Diclofenac Topical Gel 1%,Apply 2–4 g to affected joint 3–4 times daily,Fewer systemic side effects; avoid on broken skin; wash hands after application,Mild
Cerebral Palsy,Baclofen (Oral/Intrathecal),Oral: 5 mg three times daily titrating to 80 mg/day; Intrathecal: specialist-titrated pump,"Muscle relaxant for spasticity; drowsiness and weakness; do not stop abruptly (seizures, withdrawal); specialist orthopaedic and neuro team",Moderate
Sinusitis,Saline Nasal Rinse,240 mL isotonic saline through each nostril twice daily,Use sterile/distilled water; safe in pregnancy; helps clear mucus; use before nasal steroid spray,Mild
Kawasaki Disease,Intravenous Immunoglobulin (IVIG),2 g/kg IV over 10–12 hours as single dose,Must be given within 10 days of fever onset to prevent coronary aneurysms; echocardiogram monitoring; given with aspirin; specialist paediatric care,Severe
Gingivitis,Metronidazole Gel 25% (Dental),Applied to periodontal pockets by dentist during scaling procedure,For adjunctive use with dental cleaning; professional dental care required; oral hygiene instruction mandatory,Mild
Eczema (Atopic Dermatitis),Hydrocortisone Cream 1%,Apply thinly to affected area 1–2 times daily for up to 7 days,Mild topical steroid; safe for face in short courses; avoid prolonged use; use emollient generously alongside,Mild
Gestational Diabetes,Insulin (Short-acting Aspart),Adjusted per blood glucose readings (typically 4–10 units with meals),If metformin insufficient; self-monitoring of blood glucose essential; hypoglycaemia risk; rotate injection sites; neonatal monitoring after delivery,Moderate
Hyperlipidaemia,Fenofibrate (Triglycerides),145 mg once daily (modified-release),For hypertriglyceridaemia or mixed dyslipidaemia; monitor renal function; risk of myopathy especially with statin combination; avoid in severe renal/hepatic disease,Mild
Kidney Stones,Tamsulosin (Alpha-blocker),0.4 mg once daily at bedtime (facilitates stone passage),May cause orthostatic hypotension; avoid driving initially; effective for stones <10 mm,Moderate
Portal Hypertension,Propranolol (Non-selective Beta-blocker),20–80 mg twice daily; titrate to reduce resting heart rate by 25% or to 55 bpm,"Primary prophylaxis of variceal bleeding; contraindicated in asthma, decompensated heart failure; do not stop abruptly; endoscopic banding combined in high-risk patients",Severe
Chronic Myeloid Leukemia,Imatinib (Gleevec — TKI),400 mg once daily with a large glass of water and meal,"BCR-ABL mutation testing for resistance monitoring; monitor CBC, LFTs monthly; oedema and fluid retention; excellent long-term outcomes in chronic phase",Severe
Hepatitis B,Entecavir,0.5 mg once daily on empty stomach (treatment-naive),1 mg/day for lamivudine-resistant patients; monitor LFTs; long-term therapy required,Severe
Bronchitis,Amoxicillin-Clavulanate,875/125 mg twice daily for 5–7 days (bacterial),Only if bacterial cause confirmed; check allergy; complete full course; most bronchitis is viral and does not need antibiotics,Mild
Post-Traumatic Stress Disorder,Prazosin,1–15 mg at bedtime (for nightmares),Alpha-blocker; risk of orthostatic hypotension — first dose at bedtime; titrate slowly; monitor BP,Mild
Cerebral Palsy,Botulinum Toxin A (Botox) Injection,Specialist-calculated dose injected into spastic muscle groups every 3–6 months,Temporary effect (3–6 months); specialist physiotherapy alongside; pain at injection; very rare respiratory compromise if spread,Moderate
Amyotrophic Lateral Sclerosis,Riluzole,50 mg twice daily on empty stomach,Only FDA-approved disease-modifying drug (modest benefit); monitor LFTs every 3 months; nausea common; avoid alcohol; specialist neurology initiation,Severe
Insomnia,Melatonin,2 mg prolonged-release 1–2 hours before bedtime for up to 13 weeks,For circadian rhythm insomnia; relatively safe; may cause drowsiness; CBT-I more effective long-term,Mild
Peripheral Artery Disease,Clopidogrel,75 mg once daily (antiplatelet therapy),Reduces cardiovascular events; avoid with PPIs (especially omeprazole — reduced efficacy); check for active bleeding; may be combined with aspirin in some cases,Moderate
Heat Stroke,Rapid External Cooling (Cold Water Immersion),"Immerse in cold water (1–15°C) or apply ice packs to neck, axillae, groin; target temperature <38.5°C within 30 min",Medical emergency; call ambulance immediately; remove from heat; monitor core temperature; IV fluids for hypotension; avoid antipyretics (not effective for heat stroke),Critical
Pneumonia,Ceftriaxone IV,1–2 g IV/IM once daily for 5–10 days (severe),Hospitalisation required; check for cephalosporin allergy; monitor renal function,Severe
Cholera,Doxycycline,300 mg orally as single dose (adults),Reduces duration and severity; not for children under 8 or pregnant women; single dose effective; provide ORS alongside,Moderate
Peptic Ulcer,Omeprazole (PPI),20–40 mg once daily before breakfast for 4–8 weeks,Avoid long-term use without indication; monitor magnesium levels; may reduce clopidogrel efficacy,Moderate
Malignant Melanoma,Pembrolizumab (Keytruda),200 mg IV every 3 weeks or 400 mg every 6 weeks (advanced melanoma),"Immune-related adverse events (pneumonitis, colitis, hepatitis); monitor LFTs and TFTs; specialist oncology team; corticosteroids for immune toxicity",Critical
Coronary Artery Disease,Bisoprolol,2.5–10 mg once daily,Do not stop abruptly; contraindicated in acute decompensated heart failure and asthma; monitor heart rate and BP,Moderate
COVID-19,Paracetamol,500–1000 mg every 4–6 hours; max 4 g/day,For symptom relief; stay hydrated; isolate to prevent transmission,Mild
Athlete's Foot (Tinea Pedis),Terbinafine Cream 1%,Apply once or twice daily for 1–2 weeks,Dry feet thoroughly especially between toes; wear breathable socks; avoid sharing towels; treat shoes with antifungal powder,Mild
Influenza,Zanamivir (Relenza),10 mg (2 inhalations) twice daily for 5 days,Not recommended in patients with COPD/asthma; use bronchodilator before dosing,Moderate
